"","IncidentType","Category","FloorConditions","Weather","RiskAssessment","IncidentLocation","OccurredOnEmployerPremises","InjuredPartyType","EmplType","WasProtectiveClothingWorn","WasMechHandlingEquiUsed","LengthEmplCat","TotalDaysUnfitForWork","RiddorReportable","InjuredPartysAge","Brand","Months"
"88","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","N","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","Y","3-5 Years",48,"N",62,"Jewson","November"
"89","Lost Time Injury (TF1)","Manual Handling","Wet","Wet/Cold","N","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","10-20 Years",42,"N",54,"Jewson","December"
"90","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","5-10 Years",43,"Y",62,"Jewson","May"
"91","Lost Time Injury (TF1)","Manual Handling","Normal","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",8,"Y",55,"Jewson","January"
"92","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Offices/Showroom","Y","Full-Time","Internal Sales Office Staff","N","N","2-3 Years",429,"N",57,"Jewson","August"
"93","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","3-6 Months",15,"N",38,"Jewson","June"
"94","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","20+ Years",146,"Y",61,"Jewson","January"
"95","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Wet/Hot","N","Stockyard","Y","Full-Time","Yard/Warehouse Operative","N","N","0-3 Months",4,"N",50,"Jewson","January"
"96","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Maintenance Workshop/Area","Y","Full-Time","Management Staff","Y","N","2-3 Years",57,"Y",39,"Jewson","July"
"97","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Stockyard","Y","Temporary Worker/Agency","Yard/Warehouse Operative","Y","N","5-10 Years",0,"Y",37,"Graham","January"
"98","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Cold","Y","Maintenance Workshop/Area","Y","Contractor (<=10hrs/wk)","Counter Sales Staff","Y","N","6-12 Months",0,"N",20,"International Timber","May"
"99","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Cold","N","Stockyard","Y","Contractor (<=10hrs/wk)","Yard/Warehouse Operative","Y","N","3-5 Years",0,"Y",25,"Jewson","August"
"100","Lost Time Injury (TF1)","Involving Forklift Truck (FLT)","Dry","Dry/Cold","Y","Stockyard","Y","PermanentContractor(>10hrs/wk)","HGV/LGV Driver","Y","Y","0-3 Months",0,"Y",38,"Calders & Grandidge","October"
"101","Lost Time Injury (TF1)","Struck by moving vehicle (not FLT)","Wet","Wet/Cold","Y","Stockyard","N","Contractor (<=10hrs/wk)","HGV/LGV Driver","Y","Y","3-6 Months",0,"Y",43,"Jewson","December"
"102","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Stockyard","Y","Part-Time","Yard/Warehouse Operative","Y","N","1-2 Years",2,"N",50,"Jewson","March"
"103","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Stockyard","Y","Part-Time","Yard/Warehouse Operative","Y","N","2-3 Years",161,"Y",50,"Jewson","January"
"104","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","2-3 Years",6,"N",52,"Jewson","July"
"105","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","3-6 Months",5,"N",29,"Jewson","August"
"106","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",7,"Y",53,"Jewson","June"
"107","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","Y","1-2 Years",457,"Y",44,"Jewson","May"
"108","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","HGV/LGV Driver","Y","N","5-10 Years",7,"Y",52,"Gibbs and Dandy Group","January"
"109","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Warehouse","Y","Part-Time","Yard/Warehouse Operative","Y","N","5-10 Years",15,"Y",71,"Jewson","February"
"110","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Cold","N","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","10-20 Years",4,"Y",52,"Jewson","October"
"111","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Offsite","Y","Full-Time","HGV/LGV Driver","N","N","5-10 Years",7,"Y",58,"Jewson","October"
"112","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","3-6 Months",22,"Y",36,"Jewson","February"
"113","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",60,"Y",31,"Normans","July"
"114","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Wind","N","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",33,"Y",28,"Graham","May"
"115","Lost Time Injury (TF1)","Manual Handling","Normal","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",6,"N",50,"Minster Insulation and Drylining","May"
"116","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Normal","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","3-5 Years",20,"Y",51,"Jewson","July"
"117","Lost Time Injury (TF1)","Struck by flying objects/debris","Wet","Wind","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",1096,"Y",37,"Jewson","April"
"118","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Warehouse","Y","Full-Time","Yard/Warehouse Operative","Y","N","20+ Years",17,"Y",67,"Jewson","April"
"119","Lost Time Injury (TF1)","Struck by moving vehicle (not FLT)","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Management Staff","Y","N","20+ Years",3,"N",45,"International Timber","June"
"120","Lost Time Injury (TF1)","Contact with moving machinery","Dry","Dry/Cold","Y","Stockyard","Y","Temporary Worker/Agency","HGV/LGV Driver","Y","Y","3-5 Years",2,"N",38,"Jewson","August"
"121","Lost Time Injury (TF1)","Manual Handling","Normal","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","Y","6-12 Months",2,"N",54,"Ceramic Tile Distributors","November"
"122","Lost Time Injury (TF1)","Struck by moving vehicle (not FLT)","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","Y","3-6 Months",58,"Y",46,"Pasquill","November"
"123","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Wet","Wet/Cold","Y","Stockyard","Y","Part-Time","Internal Sales Office Staff","N","N","10-20 Years",4,"N",62,"Jewson","January"
"124","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Cold","Y","Stockyard","Y","Temporary Worker/Agency","HGV/LGV Driver","Y","N","1-2 Years",0,"Y",53,"Frazer","August"
"125","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Normal","Dry/Hot","N","Stockyard","Y","Full-Time","HGV/LGV Driver","N","N","3-5 Years",36,"Y",52,"Jewson","July"
"126","Lost Time Injury (TF1)","Manual Handling","Normal","Dry/Cold","Y","Stockyard","Y","Full-Time","Counter Sales Staff","N","N","6-12 Months",8,"Y",60,"Jewson","June"
"127","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Hot","N","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","N","N","6-12 Months",3,"N",47,"Jewson","July"
"128","Lost Time Injury (TF1)","Fall from a height","Normal","Dry/Cold","Y","Offsite","Y","Full-Time","HGV/LGV Driver","Y","Y","10-20 Years",69,"Y",69,"Jewson","October"
"129","Lost Time Injury (TF1)","Contact with moving machinery","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","N","Y","2-3 Years",42,"Y",48,"Jewson","August"
"130","Lost Time Injury (TF1)","Struck by flying objects/debris","Normal","Icy/Cold","Y","Stockyard","Y","Full-Time","MHE/Forklift Truck Operator","Y","N","0-3 Months",74,"Y",57,"Jewson","March"
"131","Lost Time Injury (TF1)","Struck by moving vehicle (not FLT)","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","1-2 Years",6,"N",31,"Jewson","June"
"132","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",7,"Y",31,"International Decorative Surfaces","December"
"133","Lost Time Injury (TF1)","Fall from a height","Dry","Dry/Cold","Y","Stockyard","Y","Temporary Worker/Agency","Yard/Warehouse Operative","N","N","10-20 Years",0,"Y",46,"Jewson","October"
"134","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Stockyard","Y","Member Of Public","Management Staff","N","N","10-20 Years",0,"N",35,"Jewson","June"
"135","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Hot","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","Y","3-5 Years",43,"Y",54,"Jewson","July"
"136","Lost Time Injury (TF1)","Slipped, trip or fall (level)","Dry","Dry/Cold","Y","Offsite","N","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",137,"Y",67,"Jewson","November"
"137","Lost Time Injury (TF1)","Manual Handling","Dry","Dry/Hot","Y","Stockyard","Y","Full-Time","HGV/LGV Driver","Y","N","1-2 Years",6,"N",58,"Jewson","August"
"138","Lost Time Injury (TF1)","Struck by flying objects/debris","Dry","Dry/Cold","Y","Stockyard","Y","Full-Time","Yard/Warehouse Operative","Y","N","2-3 Years",12,"Y",57,"Jewson","March"
"139","Lost Time Injury (TF1)","Fall from a height","Wet","Wet/Cold","Y","Offsite","Y","Full-Time","HGV/LGV Driver","Y","Y","1-2 Years",175,"Y",52,"Jewson","March"
"140","Lost Time Injury (TF1)","Struck by moving vehicle (not FLT)","Dry","Dry/Hot","Y","Production/Processing","Y","Full-Time","Yard/Warehouse Operative","Y","N","6-12 Months",30,"Y",51,"Pasquill","June"
